Sample_ID,Genotype,Drought_Stage,Treatment,c__Atractiellomycetes,c__Chytridiomycota_cls_Incertae_sedis,c__Cystobasidiomycetes,c__Dothideomycetes,c__Eurotiomycetes,c__Fungi_cls_Incertae_sedis,c__Leotiomycetes,c__Rozellomycota_cls_Incertae_sedis,c__Sordariomycetes,c__Spizellomycetes,c__Tremellomycetes,c__Ustilaginomycetes
P32,UCR369,V4-Stage,Drought,1.13E-04,5.46E-02,9.87E-05,2.11E-02,0.09782486,0.64548891,0.00E+00,0.00E+00,0.150933815,2.43E-03,0.00E+00,4.25E-03
P33,ES4,R1-Stage,Control,4.60E-04,2.04E-02,7.47E-04,4.65E-03,0.217625093,0.72924685,9.19E-05,1.38E-04,0.020865169,0.00E+00,3.45E-05,4.25E-04
P34,ES4,R1-Stage,Control,0.00E+00,1.56E-02,0.00E+00,1.81E-02,0.081472414,0.82342904,3.46E-04,3.71E-05,0.036513589,7.42E-05,4.95E-05,2.92E-03
P35,ES4,R1-Stage,Drought,0.00E+00,1.61E-03,0.00E+00,5.84E-03,0.52492025,0.30806431,0.00E+00,0.00E+00,0.15851729,1.66E-04,0.00E+00,3.83E-05
P36,ES4,R1-Stage,Drought,0.00E+00,8.53E-04,0.00E+00,9.91E-03,0.059476918,0.54461425,0.00E+00,0.00E+00,0.383580169,0.00E+00,3.94E-05,8.01E-04
P37,ES4,R1-Stage,Drought,0.00E+00,7.63E-04,0.00E+00,4.77E-03,0.005050896,0.90270671,1.22E-04,2.87E-04,0.082991633,1.99E-04,0.00E+00,1.35E-03
P38,ES4,R1-Stage,Drought,0.00E+00,7.84E-04,0.00E+00,8.14E-03,0.05832825,0.77162121,0.00E+00,0.00E+00,0.159376089,1.02E-03,0.00E+00,5.45E-05
P39,ES4,R1-Stage,Control,0.00E+00,4.62E-03,0.00E+00,1.53E-02,0.065187083,0.82203054,2.95E-04,1.25E-03,0.086406039,2.04E-04,0.00E+00,1.26E-03
P40,ES4,R1-Stage,Control,0.00E+00,3.24E-02,8.82E-05,7.38E-02,0.097519381,0.56282894,1.26E-03,2.06E-04,0.130048711,3.84E-03,1.47E-04,2.93E-03
P41,UCR369,R1-Stage,Control,0.00E+00,5.35E-04,2.38E-05,5.68E-03,0.005739546,0.89856571,0.00E+00,0.00E+00,0.087875655,8.32E-05,0.00E+00,0.00E+00
P42,UCR369,R1-Stage,Drought,7.11E-05,6.82E-04,1.42E-04,1.03E-02,0.382795393,0.50956917,0.00E+00,0.00E+00,0.093061283,1.56E-04,4.98E-04,2.37E-03
P43,UCR369,R1-Stage,Control,0.00E+00,3.65E-03,3.30E-04,3.42E-03,0.023854467,0.94976641,0.00E+00,0.00E+00,0.012151385,1.95E-03,0.00E+00,1.76E-03
P44,UCR369,R1-Stage,Control,0.00E+00,2.51E-02,0.00E+00,9.63E-03,0.272251827,0.51219693,2.60E-04,6.31E-04,0.045004389,1.90E-03,8.65E-05,3.86E-03
P45,UCR369,R1-Stage,Control,0.00E+00,4.51E-02,8.03E-05,4.20E-03,0.014885492,0.84864505,1.49E-04,0.00E+00,0.037294006,3.10E-04,0.00E+00,1.15E-02
P46,UCR369,R1-Stage,Drought,0.00E+00,6.98E-03,1.92E-04,8.03E-03,0.130105443,0.74431201,0.00E+00,1.10E-04,0.093537345,9.62E-05,0.00E+00,4.51E-03
P47,UCR369,R1-Stage,Drought,4.84E-04,2.02E-03,0.00E+00,1.57E-02,0.031826143,0.87714325,0.00E+00,0.00E+00,0.065069598,2.42E-04,1.04E-04,6.03E-03
