Sample_ID,Genotype,Drought_Stage,Treatment,g__Achroiostachys,g__Acremonium,g__Albifimbria,g__Aspergillus,g__Atractiella,g__Chytridiomycota_gen_Incertae_sedis,g__Cladosporium,g__Clonostachys,g__Coniochaeta,g__Curvularia,g__Emericellopsis,g__Fungi_gen_Incertae_sedis,g__Fusarium,g__Humicola,g__Knufia,g__Macrophomina,g__Neocosmospora,g__Penicillium,g__Periconia,g__Poaceascoma,g__Pseudeurotium,g__Pseudophialophora,g__Pseudothielavia,g__Purpureocillium,g__Rozellomycota_gen_Incertae_sedis,g__Saitozyma,g__Sakaguchia,g__Scedosporium,g__Spizellomyces,g__Stagonospora,g__Striaticonidium,g__Taifanglania,g__Talaromyces,g__Thecaphora,g__Thermothielavioides,g__Torula,g__Trichoderma,g__Ustilaginaceae_gen_Incertae_sedis,g__Westerdykella,g__Wettsteinina,g__Xenomyrothecium,none
P42,UCR369,R1-Stage,Drought,0.00E+00,2.13E-04,2.12E-03,0.091198635,7.11E-05,6.82E-04,0.002857955,1.85E-03,5.55E-04,3.03E-03,0,0.50956917,0.062334708,0.00140765,0.00E+00,2.10E-03,0,0.272486848,1.56E-04,5.40E-04,0.00E+00,1.71E-04,0.01609555,0.001663586,0.00E+00,4.98E-04,1.42E-04,0.00E+00,1.56E-04,1.22E-03,5.83E-03,0,1.91E-02,0.00E+00,5.69E-05,2.84E-04,0.00E+00,2.37E-03,1.28E-04,0.00E+00,0.00E+00,1.14E-03
P43,UCR369,R1-Stage,Control,1.06E-04,1.53E-04,8.26E-04,0.015324902,0.00E+00,3.65E-03,0.002147138,1.53E-04,1.18E-04,2.48E-04,0,0.94976641,0.004447643,0.000613468,8.26E-05,1.89E-04,0,0.007538578,0.00E+00,5.07E-04,0.00E+00,0.00E+00,0.003149922,0.000176962,0.00E+00,0.00E+00,3.30E-04,0.00E+00,1.95E-03,0.00E+00,5.90E-05,0.000755038,8.26E-04,1.17E-03,0.00E+00,0.00E+00,0.00E+00,5.90E-04,7.08E-05,0.00E+00,3.54E-05,5.03E-03
P44,UCR369,R1-Stage,Control,1.73E-04,2.47E-03,3.21E-04,0.094014664,0.00E+00,2.51E-02,0.007999407,0.00E+00,1.85E-04,1.48E-04,0.000853105,0.51219693,0.017569021,0.006070647,0.00E+00,5.93E-04,0.00032146,0.176493861,0.00E+00,1.73E-04,2.60E-04,0.00E+00,0.012697667,0.000581101,6.31E-04,8.65E-05,0.00E+00,0.00E+00,1.90E-03,0.00E+00,7.42E-05,0.001792757,1.74E-03,2.84E-03,2.84E-04,6.68E-04,2.10E-04,1.01E-03,0.00E+00,4.95E-05,0.00E+00,1.30E-01
P45,UCR369,R1-Stage,Control,0.00E+00,4.93E-04,2.38E-02,0.004426656,0.00E+00,4.51E-02,0.000802762,2.29E-05,9.17E-05,2.75E-03,0.004850973,0.84864505,0.004139956,0.000550465,0.00E+00,3.67E-04,0,0.006984025,3.44E-05,1.38E-04,1.49E-04,3.44E-05,0.001490843,0.001227078,0.00E+00,0.00E+00,8.03E-05,0.00E+00,3.10E-04,0.00E+00,1.03E-04,0,3.47E-03,9.17E-03,5.73E-05,6.88E-05,0.00E+00,2.33E-03,0.00E+00,0.00E+00,2.52E-04,3.80E-02
P46,UCR369,R1-Stage,Drought,0.00E+00,0.00E+00,1.02E-02,0.083570476,0.00E+00,6.98E-03,0.003120661,0.00E+00,1.24E-04,1.59E-03,0.000357433,0.74431201,0.070964106,0.004082979,0.00E+00,2.06E-04,0.000549896,0.044637825,1.65E-04,6.19E-04,0.00E+00,0.00E+00,0,0.001127287,1.10E-04,0.00E+00,1.92E-04,0.00E+00,9.62E-05,2.19E-03,7.84E-04,0.003464346,1.90E-03,4.14E-03,0.00E+00,0.00E+00,1.28E-03,3.71E-04,0.00E+00,1.37E-04,4.67E-04,1.23E-02
P47,UCR369,R1-Stage,Drought,0.00E+00,1.38E-04,0.00E+00,0.003687316,4.84E-04,2.02E-03,0.010001844,2.07E-03,0.00E+00,1.41E-03,0.000933352,0.87714325,0.019462113,0.018355918,0.00E+00,7.03E-04,0.002362187,0.028138827,6.80E-04,1.82E-03,0.00E+00,1.23E-03,0.01618962,0.001025535,0.00E+00,1.04E-04,0.00E+00,0.00E+00,2.42E-04,1.08E-03,0.00E+00,0.001255992,0.00E+00,5.15E-03,2.19E-04,0.00E+00,1.35E-03,8.76E-04,0.00E+00,0.00E+00,0.00E+00,1.87E-03
P48,UCR369,R1-Stage,Drought,7.14E-05,9.70E-03,8.67E-03,0.010291493,0.00E+00,9.52E-04,0.012076145,1.27E-02,0.00E+00,1.55E-03,0.001475312,0.81627603,0.055788221,0.000939917,7.50E-04,2.32E-02,0.000499703,0.028054729,0.00E+00,6.07E-04,2.26E-04,1.55E-04,0.002843546,0.001415824,0.00E+00,0.00E+00,1.07E-04,0.00E+00,1.43E-04,9.76E-04,1.23E-03,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.95E-05,1.43E-04,0.00E+00,0.00E+00,1.76E-03,7.38E-03
P49,ES4,R4-Stage,Control,0.00E+00,2.62E-04,1.47E-02,0.014025518,1.03E-04,1.56E-02,0.001666172,1.15E-03,2.28E-05,2.62E-04,0.000970032,0.78766576,0.112432383,0.003412229,2.28E-04,1.37E-04,0,0.016593249,0.00E+00,2.85E-04,7.99E-05,0.00E+00,0.005238171,0.001312396,3.54E-04,0.00E+00,0.00E+00,0.00E+00,2.62E-04,0.00E+00,0.00E+00,0.001164038,7.42E-04,1.03E-04,3.31E-04,7.42E-04,4.11E-04,0.00E+00,0.00E+00,0.00E+00,8.79E-04,1.88E-02
P50,ES4,R4-Stage,Control,7.34E-04,2.55E-04,1.20E-03,0.000314513,0.00E+00,3.87E-02,0.002066797,0.00E+00,0.00E+00,1.95E-04,0.000254605,0.907743,0.031301483,0.000239629,0.00E+00,0.00E+00,0.001018421,0.001093305,0.00E+00,0.00E+00,1.05E-04,0.00E+00,0.001692377,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.94E-04,0.00E+00,1.80E-04,0,3.00E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.22E-02
P51,ES4,R4-Stage,Drought,3.75E-04,9.51E-04,7.51E-03,0.010525525,3.75E-05,3.20E-03,0.003767162,1.41E-01,0.00E+00,2.03E-03,0.001226518,0.43125868,0.299946183,0.000750929,2.38E-03,6.88E-04,0,0.055481158,3.75E-05,2.13E-03,6.26E-05,0.00E+00,0,0,0.00E+00,0.00E+00,1.13E-04,0.00E+00,0.00E+00,1.61E-03,6.76E-04,0.001201487,4.54E-03,1.98E-03,0.00E+00,0.00E+00,2.25E-03,1.88E-04,0.00E+00,1.88E-04,0.00E+00,2.37E-02
P52,ES4,R4-Stage,Drought,0.00E+00,2.34E-04,1.11E-03,0.001551294,5.31E-05,2.26E-03,0.000988153,1.50E-03,0.00E+00,0.00E+00,0.000754396,0.5138182,0.35803007,0.000818148,0.00E+00,5.53E-04,0.108505552,0.002762578,0.00E+00,7.97E-04,1.91E-04,3.19E-05,0.001381289,0,0.00E+00,5.31E-05,0.00E+00,0.00E+00,1.34E-03,8.50E-05,0.00E+00,0,0.00E+00,0.00E+00,1.06E-04,0.00E+00,0.00E+00,0.00E+00,1.17E-04,0.00E+00,0.00E+00,2.96E-03
P53,ES4,R4-Stage,Drought,0.00E+00,1.10E-03,1.08E-03,0.020440988,4.43E-04,1.77E-03,0.0031662,2.57E-02,0.00E+00,1.39E-04,0.000899201,0.65416229,0.243366811,0,2.41E-04,1.84E-03,0.004635317,0.034815537,0.00E+00,7.85E-04,0.00E+00,3.67E-04,0,0,6.33E-05,0.00E+00,0.00E+00,0.00E+00,5.07E-05,0.00E+00,1.46E-03,0,1.62E-03,6.46E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.90E-04,0.00E+00,9.88E-04
P54,ES4,R4-Stage,Control,0.00E+00,6.70E-02,8.49E-05,0.00324943,0.00E+00,6.43E-04,0.093930356,1.49E-02,6.06E-05,8.49E-05,0.000157622,0.59494883,0.040120762,0.001030603,0.00E+00,0.00E+00,0.00209758,0.172571415,0.00E+00,9.70E-05,0.00E+00,6.06E-05,0.004449779,0.001709588,0.00E+00,0.00E+00,0.00E+00,8.49E-05,2.18E-04,0.00E+00,0.00E+00,0,8.24E-04,0.00E+00,2.30E-04,0.00E+00,2.06E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.30E-03
P55,ES4,R4-Stage,Drought,1.13E-04,1.62E-04,9.70E-05,0.002716381,1.62E-04,4.79E-02,0.008569535,1.16E-01,1.46E-04,5.50E-04,0.000582082,0.63070157,0.10380455,0.019515902,0.00E+00,9.70E-05,0.009879218,0.011431436,0.00E+00,0.00E+00,3.23E-04,0.00E+00,0.018933821,0,1.46E-03,1.62E-04,0.00E+00,2.26E-04,3.80E-03,0.00E+00,9.05E-04,0,5.17E-04,4.85E-04,3.07E-04,3.88E-04,4.28E-03,0.00E+00,0.00E+00,1.78E-04,0.00E+00,1.58E-02
P56,ES4,R4-Stage,Control,0.00E+00,1.21E-03,1.65E-03,0.001373595,0.00E+00,2.17E-03,0.001952549,1.02E-01,2.50E-04,0.00E+00,0.000692474,0.80371211,0.032103531,0.000204337,1.48E-04,0.00E+00,0.001033034,0.018549211,0.00E+00,2.16E-04,0.00E+00,0.00E+00,0.001475763,0.002054717,0.00E+00,7.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E-04,0,1.25E-03,3.29E-04,2.16E-04,0.00E+00,0.00E+00,7.95E-05,4.54E-05,0.00E+00,6.81E-05,2.65E-02
P57,UCR369,R4-Stage,Drought,0.00E+00,1.17E-04,0.00E+00,0.00342233,0.00E+00,8.66E-03,0.00113687,1.17E-04,7.03E-05,1.13E-03,0.000503973,0.90786667,0.01681864,0.001254073,8.79E-04,2.53E-03,0,0.028527226,0.00E+00,5.34E-03,0.00E+00,2.17E-03,0.011263215,0.000996226,2.34E-05,1.29E-04,0.00E+00,0.00E+00,3.87E-04,6.68E-04,0.00E+00,0,0.00E+00,7.97E-04,0.00E+00,1.52E-04,0.00E+00,7.03E-05,0.00E+00,1.39E-03,0.00E+00,3.57E-03
P58,UCR369,R4-Stage,Control,0.00E+00,4.13E-04,2.74E-03,0.001169149,0.00E+00,2.72E-04,0.00083848,5.90E-05,0.00E+00,2.01E-04,0,0.98561593,0.000885719,0.000307049,7.09E-05,9.45E-05,0,0.002952396,0.00E+00,5.55E-04,0.00E+00,0.00E+00,0.001358102,0.00028343,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,2.13E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-03,8.86E-04
P59,UCR369,R4-Stage,Control,1.03E-04,3.94E-03,1.46E-02,0.055642139,9.02E-05,2.25E-02,0.011102668,2.19E-04,0.00E+00,1.37E-02,0.001803218,0.68365126,0.019049704,0.008475122,1.42E-04,6.44E-05,0,0.076610982,1.67E-04,1.29E-04,0.00E+00,0.00E+00,0.04960136,0.004997488,0.00E+00,0.00E+00,6.44E-05,1.93E-04,8.50E-04,1.29E-04,2.19E-03,0.008706964,0.00E+00,9.02E-04,6.96E-04,0.00E+00,1.02E-03,0.00E+00,0.00E+00,2.19E-04,0.00E+00,1.84E-02
P60,UCR369,R4-Stage,Drought,0.00E+00,1.83E-03,1.96E-01,0.001049249,0.00E+00,3.80E-03,0.008077032,2.19E-05,2.51E-04,3.72E-04,0.000579273,0.01796839,0.063053315,0.001071109,0.00E+00,4.93E-03,0.000502765,0.20191488,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.001322491,0.002448248,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.42E-04,0,2.62E-04,2.08E-04,0.00E+00,0.00E+00,1.34E-03,9.84E-05,0.00E+00,0.00E+00,4.77E-01,1.62E-02
P61,UCR369,R4-Stage,Control,0.00E+00,7.47E-04,4.55E-04,0.012901192,0.00E+00,2.14E-02,0.001716267,0.00E+00,9.34E-05,2.80E-04,0.001471086,0.90704137,0.002720342,0.000478687,0.00E+00,1.52E-04,0,0.00894327,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.009095049,0.00123758,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.52E-04,5.84E-05,0.00E+00,0.002066526,2.91E-03,3.54E-03,9.34E-05,8.17E-04,0.00E+00,0.00E+00,3.50E-05,0.00E+00,3.50E-05,2.16E-02
P62,UCR369,R4-Stage,Drought,0.00E+00,0.00E+00,1.81E-03,0,0.00E+00,2.05E-04,0,2.30E-01,0.00E+00,0.00E+00,0,0.29124665,0.475277635,0,5.70E-05,0.00E+00,0.00068341,0.000421436,0.00E+00,2.05E-04,0.00E+00,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.83E-05
P63,UCR369,R4-Stage,Control,2.36E-04,1.99E-04,7.18E-03,0.0061243,0.00E+00,1.61E-02,0.01077032,5.25E-02,4.60E-04,1.09E-03,0.001329209,0.62680282,0.112721897,0.004931738,6.21E-05,3.52E-03,0.008372775,0.006931763,1.37E-04,3.68E-03,5.47E-04,1.06E-03,0.013341781,0.001055914,0.00E+00,0.00E+00,4.97E-05,2.24E-04,2.12E-03,8.70E-05,1.05E-02,0,5.58E-03,1.49E-04,6.46E-04,0.00E+00,9.44E-04,1.61E-03,7.21E-04,0.00E+00,1.83E-03,9.64E-02
P64,UCR369,R4-Stage,Drought,2.31E-04,2.55E-04,0.00E+00,0.004905818,0.00E+00,3.49E-03,0.006826491,7.41E-04,3.47E-04,7.87E-04,0.002753737,0.84493451,0.026796871,0.002962003,1.80E-03,1.65E-02,0,0.026519184,0.00E+00,4.67E-03,4.63E-04,5.16E-03,0.020780303,0.001295876,0.00E+00,4.63E-05,0.00E+00,3.93E-04,2.55E-04,2.08E-04,3.61E-03,0,2.50E-03,0.00E+00,1.11E-03,0.00E+00,0.00E+00,0.00E+00,1.34E-03,6.73E-03,0.00E+00,1.15E-02
