Sample_ID,Genotype,Drought_Stage,Treatment,g__Achroiostachys,g__Acremonium,g__Albifimbria,g__Aspergillus,g__Atractiella,g__Chytridiomycota_gen_Incertae_sedis,g__Cladosporium,g__Clonostachys,g__Coniochaeta,g__Curvularia,g__Emericellopsis,g__Fungi_gen_Incertae_sedis,g__Fusarium,g__Humicola,g__Knufia,g__Macrophomina,g__Neocosmospora,g__Penicillium,g__Periconia,g__Poaceascoma,g__Pseudeurotium,g__Pseudophialophora,g__Pseudothielavia,g__Purpureocillium,g__Rozellomycota_gen_Incertae_sedis,g__Saitozyma,g__Sakaguchia,g__Scedosporium,g__Spizellomyces,g__Stagonospora,g__Striaticonidium,g__Taifanglania,g__Talaromyces,g__Thecaphora,g__Thermothielavioides,g__Torula,g__Trichoderma,g__Ustilaginaceae_gen_Incertae_sedis,g__Westerdykella,g__Wettsteinina,g__Xenomyrothecium,none
P11,UCR369,V2-Stage,Drought,0.00E+00,2.27E-05,0.00E+00,0.00117112,0.00E+00,2.62E-04,0.000568505,0.00E+00,0.00E+00,1.59E-04,0,0.96214895,0.009744173,0.00112564,3.65E-03,0.00E+00,0,0.005969301,0.00E+00,9.10E-04,0.00E+00,0.00E+00,0.003138147,0.007697555,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.14E-03,0.00E+00,4.55E-05,0,3.18E-04,0.00E+00,4.66E-04,0.00E+00,0.00E+00,0.00E+00,3.30E-04,2.27E-05,0.00E+00,1.11E-03
P12,UCR369,V2-Stage,Drought,0.00E+00,0.00E+00,0.00E+00,0.000645027,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0,0.99549574,0.002000678,0.000153057,0.00E+00,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.001126065,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.56E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.14E-04
P13,UCR369,V2-Stage,Control,9.36E-05,1.40E-04,1.02E-02,0.013965566,0.00E+00,7.74E-03,0.021825583,1.75E-04,7.02E-05,1.56E-03,0.002163844,0.8667423,0.005263404,0.001415271,5.85E-05,1.01E-03,0,0.0197904,0.00E+00,1.12E-03,0.00E+00,0.00E+00,0.024784785,0.000479555,9.36E-05,0.00E+00,0.00E+00,9.36E-05,3.74E-03,0.00E+00,7.84E-04,0,1.47E-03,8.07E-04,3.63E-04,7.02E-05,0.00E+00,1.05E-04,1.64E-04,0.00E+00,0.00E+00,1.37E-02
P14,UCR369,V2-Stage,Control,4.79E-04,2.46E-04,6.60E-04,0.035889872,0.00E+00,2.44E-02,0.004748228,4.79E-04,7.63E-04,3.11E-04,0,0.83440718,0.008551985,0.008720178,7.37E-04,1.81E-04,0,0.012718005,2.07E-04,4.11E-03,7.37E-04,0.00E+00,0.022667288,0.000491642,1.94E-04,1.42E-04,0.00E+00,3.62E-04,2.13E-03,5.18E-05,1.91E-03,0.004010764,2.03E-03,5.18E-05,1.75E-03,7.89E-04,0.00E+00,0.00E+00,9.28E-03,3.23E-04,0.00E+00,1.55E-02
P15,UCR369,V2-Stage,Drought,0.00E+00,1.06E-04,5.32E-03,0.004563424,0.00E+00,1.43E-03,0,0.00E+00,9.29E-05,1.86E-04,0,0.9696214,0.010506487,0.000384707,0.00E+00,2.65E-04,0,0.003183784,0.00E+00,1.59E-04,5.31E-05,0.00E+00,0.001552095,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.52E-04,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.83E-04,0.00E+00,1.54E-03
P16,UCR369,V2-Stage,Drought,2.60E-04,0.00E+00,0.00E+00,0.00087243,0.00E+00,5.21E-05,0,0.00E+00,0.00E+00,0.00E+00,0,0.77802518,0.201166712,0.015469354,0.00E+00,0.00E+00,0.00174486,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.51E-05,0.00E+00,0.00E+00,0.001979244,9.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.73E-04
P17,ES4,V4-Stage,Control,0.00E+00,1.07E-04,0.00E+00,0.011966503,0.00E+00,4.28E-02,0.000939716,0.00E+00,4.04E-04,1.31E-04,0.001225199,0.41312985,0.011455013,0.022969501,1.55E-04,0.00E+00,0.000499596,0.30564543,0.00E+00,7.14E-05,0.00E+00,2.74E-04,0.024848932,0.000249798,2.38E-04,3.57E-05,3.45E-04,0.00E+00,3.57E-04,0.00E+00,7.14E-05,0.002402817,1.05E-03,2.85E-04,5.00E-04,1.78E-04,1.31E-04,2.02E-04,1.43E-04,2.38E-05,0.00E+00,1.57E-01
P18,ES4,V4-Stage,Control,0.00E+00,3.01E-04,1.61E-03,0.006492678,0.00E+00,1.40E-03,0.000486951,8.12E-05,8.12E-05,1.04E-04,0.000973902,0.82822228,0.00199418,0.003095616,3.48E-05,0.00E+00,0,0.10219012,0.00E+00,1.62E-04,0.00E+00,0.00E+00,0.034805394,0.007744838,0.00E+00,1.28E-04,0.00E+00,0.00E+00,2.43E-04,0.00E+00,8.12E-05,0.000857961,9.85E-04,2.68E-03,2.78E-04,0.00E+00,0.00E+00,0.00E+00,3.13E-04,0.00E+00,9.51E-04,3.70E-03
P19,ES4,V4-Stage,Control,1.29E-03,0.00E+00,5.24E-05,0.001886338,0.00E+00,2.27E-03,0.001854899,0.00E+00,1.47E-04,9.75E-04,0.001634826,0.94565252,0.011831529,0.00210641,8.38E-05,2.41E-04,0,0.00878195,0.00E+00,8.38E-04,2.20E-04,3.46E-04,0,0.002054012,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.53E-03,0.00E+00,1.48E-03,0.000974608,1.67E-03,0.00E+00,5.24E-04,0.00E+00,0.00E+00,0.00E+00,1.68E-04,0.00E+00,0.00E+00,1.14E-02
P21,ES4,V4-Stage,Drought,0.00E+00,1.49E-03,0.00E+00,0.000891429,0.00E+00,1.34E-02,0.004971429,6.86E-05,1.14E-04,4.00E-04,0.00696,0.84488,0.008982857,0.001028571,6.06E-04,0.00E+00,0,0.093531429,0.00E+00,2.29E-03,0.00E+00,6.74E-04,0.001965714,0.001302857,6.29E-04,1.03E-04,2.51E-04,0.00E+00,1.83E-04,0.00E+00,0.00E+00,0,3.06E-03,5.67E-03,0.00E+00,0.00E+00,1.03E-04,0.00E+00,5.71E-05,6.86E-05,0.00E+00,6.34E-03
